Banco_Alias;Fecha;Turno;Material;Moldes_Reales;Ciclos;Indicador_Molde
P1;26/08/2024;1;O3000;1;10;1-10
P1;26/08/2024;2;O3000;1;10;1-10
P1;26/08/2024;3;O3000;1;10;1-10
